Date : 2023-01-15 21:00:07
Directory : c:\repos\LinkinPark
Total : 244 files,  33665 codes, 734 comments, 2447 blanks, all 36846 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     23,490 |          2 |          6 |     23,498 |
| TypeScript         |        146 |      5,487 |        557 |      1,541 |      7,585 |
| SCSS               |         39 |      2,124 |         33 |        469 |      2,626 |
| HTML               |         39 |      1,624 |        123 |        233 |      1,980 |
| CSS                |          8 |        810 |         12 |        148 |        970 |
| Markdown           |          4 |         61 |          0 |         47 |        108 |
| JavaScript         |          1 |         37 |          6 |          2 |         45 |
| JSON with Comments |          1 |         32 |          1 |          1 |         34 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        244 |     33,665 |        734 |      2,447 |     36,846 |
| . (Files)                                                                                                  |          9 |     23,581 |          9 |         29 |     23,619 |
| src                                                                                                        |        235 |     10,084 |        725 |      2,418 |     13,227 |
| src (Files)                                                                                                |          6 |         58 |         57 |         28 |        143 |
| src\app                                                                                                    |        227 |     10,000 |        657 |      2,385 |     13,042 |
| src\app (Files)                                                                                            |          7 |        381 |         11 |         55 |        447 |
| src\app\appLogin                                                                                           |         24 |      2,576 |         51 |        617 |      3,244 |
| src\app\appLogin\forgot-password                                                                           |          4 |        590 |         11 |        137 |        738 |
| src\app\appLogin\login                                                                                     |          4 |        658 |         15 |        166 |        839 |
| src\app\appLogin\login-header                                                                              |          4 |         65 |          0 |         19 |         84 |
| src\app\appLogin\logout                                                                                    |          4 |         36 |          1 |         13 |         50 |
| src\app\appLogin\sign-up                                                                                   |          4 |        624 |         14 |        143 |        781 |
| src\app\appLogin\verify-email                                                                              |          4 |        603 |         10 |        139 |        752 |
| src\app\caja                                                                                               |         31 |      1,037 |        104 |        313 |      1,454 |
| src\app\caja\caja-control                                                                                  |          3 |        158 |         13 |         36 |        207 |
| src\app\caja\caja-log                                                                                      |          4 |        114 |          7 |         27 |        148 |
| src\app\caja\caja-view                                                                                     |          4 |        213 |         11 |         37 |        261 |
| src\app\caja\forms                                                                                         |         16 |        467 |         71 |        197 |        735 |
| src\app\caja\forms\caja-apertura-form                                                                      |          4 |        121 |         25 |         51 |        197 |
| src\app\caja\forms\caja-cierre-form                                                                        |          4 |        111 |         18 |         53 |        182 |
| src\app\caja\forms\caja-egreso-form                                                                        |          4 |        114 |          4 |         38 |        156 |
| src\app\caja\forms\caja-ingreso-form                                                                       |          4 |        121 |         24 |         55 |        200 |
| src\app\caja\sesion-view                                                                                   |          4 |         85 |          2 |         16 |        103 |
| src\app\clientes                                                                                           |         20 |        999 |         69 |        187 |      1,255 |
| src\app\clientes\clientes-control                                                                          |          3 |        115 |          3 |         19 |        137 |
| src\app\clientes\clientes-form                                                                             |          5 |        227 |         35 |         68 |        330 |
| src\app\clientes\clientes-view                                                                             |          4 |        151 |          2 |         30 |        183 |
| src\app\clientes\pago-abono                                                                                |          4 |         75 |          2 |         20 |         97 |
| src\app\clientes\vehiculos-form                                                                            |          4 |        431 |         27 |         50 |        508 |
| src\app\facturacion                                                                                        |         15 |        560 |         80 |        111 |        751 |
| src\app\facturacion\consulta-facturacion                                                                   |          4 |        212 |         27 |         26 |        265 |
